speaker,words,RACE tagged plain,tags,content tags,
Asian ,"I wish there was more help from the Consulate of Japan in Portland about how to navigate the local medical system in Portland. I want more personalized, vetted information on where to go, which doctors to see. I'd like to see BIPOC (especially Asian) female doctors who have experiences with Asian immigrants in Portland for my sexual and reproductive care. 

Luckily, I have found a BIPOC female naturopath in Portland and she is going to test my sexual hormones, but I am still not sure when I can get sexual and reproductive routine exams.

*I am a voluntary immigrant who came here to get married with my American husband.",Asian ,competent; new; culturalcompetence; asian ,competent; new; culturalcompetence,"Competent care, new, culturalcompetence"
Asian ,I am not sexually active so a lot does not apply but as far as I know my insurance and pcp covers STI testing and could cover the topic of I asked.,Asian ,insurance; asian ,Insurance,Insurance
Asian ,"I don't know where to get free condoms, pregnancy tests or plan b contraceptives in my area.",Asian ,sticare; contraception; asian ,sticare; contraception,"sticare, Contraception and birth control"
"Asian, Black or African American, White, ",I avoid sexual and reproductive care due to sexual trauma.,Asian; black; White; ,assault; delay; avoiding; asian; black; white; ,assault; delay; avoiding,"assault, delay, Avoiding care"
Asian ,"I don’t have information to give because I have lived in Oregon more than 7 years, I was gone from Oregon up until a year ago for 12 years. Most of my health care experiences falls outside Oregon, however, having moved back without health insurance I have been limited in certain ways. I sought out STI testing and pregnancy testing ~ it seemed so complicated to find a good affordable place for STI testing. In comparison to North Carolina, there was a free health services dept in Wake County which was truly affordable and helpful. I was surprised that in this way North Carolina has it better than Oregon.",Asian ,navigating; sticare; asian ,navigating; sticare,"navigating, sticare"
"Asian, Latinx ",I go to the Gender care clinic at Kaiser Interstate Medical Center. I have OHP. I've always gotten the care that I've requested from them. My PHP is queer and he's never made me feel fearful of going to him with concerns.,Asian; Latinx ,wins; competent; asian; latinx ,Wins; competent,"Wins, Competent care, sharedidentities"
"Asian, White ","I have access to incredible fertility and endometriosis providers in the portland area. the biggest barrier is lack of insurance coverage for IVF. I am an excellent candidate for IVF and have no other options due to tubal endometriosis. i'm relatively young and have a great egg count, all my other numbers are great. all i need is coverage for IVF to be able to grow our queer family in the way my wife and I want to. IUI and other methods are not an option for us. I wish Oregon mandated this coverage for queer families. the other issue is long wait times for my OBGYN who is amazing but it's so hard to get in to see her.

lastly, it took way too long to get diagnosed with endo. i saw multiple providers who did not take my pain seriously.",Asian; White ,insurance; competent; wins; minimization; asian; white ,Insurance; competent; Wins; minimization,"Insurance, Competent care, Wins, minimization"
"Black or African American, Latinx ",I've had symptoms of PCOS since I was a teenager. I wasn't diagnosed with it till my mid 30's due to medical bias.,black; Latinx ,chronic; reproductive; diagnosisdelayed; black; latinx ,chronic; reproductive; diagnosisdelayed,"Chronic Conditions, reproductive, diagnosisdelayed"
Latinx ,"I have an undiagnosed condition in my reproductive organs, that doctors and other providers haven't been able to figure out. but only ever reffer me to minimal testing/ screenings and after they ""cant tell"" whats wrong they don't ever go searching for deeper avenues of testing.   it feels like all i get is a,  I cant tell whats wrong with you, a shrug and a let us know if it gets worse. it feels as since im not dying i dont get to know whats wrong with my uterus.",Latinx ,chronic; minimization; latinx ,chronic; minimization,"Chronic Conditions, minimization"
Asian ,"My experiences in Oregon have been pretty good but it’s important to note that my chronic reproductive health condition (adenomyosis) has been very stable and well managed the whole time I have lived here w no need for any changes to the treatment plan. If my condition got worse, I don’t feel super confident that my current care providers would be able to help and don’t know where else I could seek care.",Asian ,chronic; knowledge; asian ,chronic; knowledge,"Chronic Conditions, knowledge"
Black or African American ,I have found that online resources have been super helpful in finding affordable and accessible care options.,black ,wins; black ,Wins,Wins
Black or African American ,"I have had amazing experiences with my healthcare provider, who listens and respects my choices.",black ,competent; black ,competent,Competent care
Latinx ,"I have not had access to sexual and reproductive health services. I believe it’s important to make these services more available and accessible, especially for people who are new to the country or unfamiliar with the healthcare system.",Latinx ,cost; delay; latinx ,cost; delay,"cost, delay"
Asian ,I have PMDD. I have often not been treated for it or am offered treatment I do not want. I once had a nexplanon in my arm and it was making my PMDD symptoms happen 24/7 instead of half of the month (which is usual. I had a provider that die to my nexplanon not being expired they kept canceling my my appointment without my consent. I kept calling and telling on staff not to cancel then another person would call leave a voicemail and cancel… when I finally saw the provider I told her I wanted it out because it was giving me my period daily and she said I had another two years until it expired. She kept saying she wanted to keep it in… then when I said I had PMDD and was suicidal all she wanted to do was give me SSRI’s. She talked me out of taking it out and even though I agreed to her plan to take the ssri… she turned to my partner who is a cis male and asked him if he was okay with the plan… he was confused on why she was asking his permission… this was at the Kaiser Sunnyside obgyn… I really love my current doctor at the rockwood clinic but I am wanting to start a family soon and the sunnyside center is the closest clinic… it makes me worried about starting our family…,Asian ,reproductive; minimization; knowledge; sexism; asian ,reproductive; minimization; knowledge; Sexism,"reproductive, minimization, knowledge, Sexism"
Asian ,I've had a difficult time getting HRT due to financial restraints and sometimes chronic homelessness.,Asian ,cost; homelessness; asian ,cost; Homelessness,"cost, Homelessness"
Black or African American ,"My provider is also queer and trans; I'm lucky to have access to a doctor who understands me, my concerns, and is able to answer my questions well without me having to be the one to educate them.",black ,competent; wins; black ,competent; Wins,"Competent care, Wins, sharedidentities"
"Black or African American, White ",I haven't had any experience in Oregon yet. In Michigan all of my healthcare was covered. I just got on OHP and I'm hoping everything here is covered,black; White ,new; black; white ,new,new
Black or African American ,The forcing of birth control or surgeries for all chronic hormonal disorders is frustrating. So many people including myself have pcos and have found nothing that works for them but stay ok birth control despite the chronic symptoms it causes.,black ,chronic; knowledge; reproductive; contraception; black ,chronic; knowledge; reproductive; contraception,"Chronic Conditions, knowledge, reproductive, Contraception and birth control"
Latinx ,"I only currently receive HRT and reproductive health does not apply to me as I'm not sexually active, but I experience many complications in the health world due to having Long COVID",Latinx ,covid-19; latinx ,COVID-19,COVID-19
"Asian, White ","I only decide to get care when i really need it and when i know it's safe, after word of mouth referral and reading reviews. Keeping myself safe is most important but also means long wait times for appointments",Asian; White ,avoiding; asian; white ,avoiding,Avoiding care
Latinx ,"I started hormone therapy here in Oregon and the process was much easier than I anticipated, it wasn’t full of barriers or judgement just a medical professional who was helping me get what I need",Latinx ,competent; wins; latinx ,competent; Wins,"Competent care, Wins"
"Asian, Native Hawaiian or Pacific Islander ","I struggle with my insurance because it’s through work, and it won’t cover my HRT because I haven’t seen a therapist continuously for over a year about my gender identity. So I’m paying for T out of pocket, and it’s a lot of money. Same with the labs that need to be done to make sure I’m safe.",Asian; nhpi ,cost; insurance; asian; nhpi ,cost; Insurance,"cost, Insurance"
"Latinx, White ","I'm a trans advocate and educator who works in healthcare, so I admit that my access and understanding of insurance, medical care, and community resources is higher than most. I also moved to OR from OK, so I'm used to navigating much *much* worse systems for gender, sexual, and reproductive healthcare. In comparison, Portland seems like a walk in the park",Latinx; White ,new; latinx; white ,new,"new, Wins"
Black or African American ,"I think the questions have covered this pretty thoroughly, but I wanted to state in my own words that a huge barrier for me accessing any health services is finding this mysterious and elusive combination of healthcare providers who move through the world similar enough to me that I don’t have to catch them up so to speak. Often it’s I found a cool queer doctor but they’re white, I found a cool therapist but they’re white and young. Honestly, I’m going to stop there and just say it is nigh impossible to find a queer & Black healthcare providers who move who is around my age, or, isn’t around my age. And that’s even before I get into an any combination of that + takes my insurance. The cost is prohibitive, and the risks of having to educate my provider on what I would consider essential knowledge is too high.",black ,culturalcompetence; cost; knowledge; black ,culturalcompetence; cost; knowledge,"culturalcompetence, cost, knowledge, sharedidentities"
"Asian, White ",I was not taken seriously at OHSU about hormonal testing and the main doctor there said they would block my insurance if I tried to order hormone testing,Asian; White ,minimization; asian; white ,minimization,"minimization, indifference"
Latinx ,"I was sexually assaulted in the past, and when I went to Kaiser ER in Sunnyside, the nurse told me I couldn't be raped because I was trans. Only cis women could be raped. I stormed out of the ER and it was 3 days until my friend took me to another hospital to get care, get STI testing, etc.",Latinx ,assault; transphobia; minimization; latinx ,assault; Transphobia; minimization,"assault, Transphobia, minimization, indifference"
Asian ,"Vasectomy - scheduling for a commutative appointment was very difficult. Ultimately, decided it wasn’t worth it to go through all of the bureaucracy",Asian ,contraception; delay; waits; asian ,contraception; delay; waits,"Contraception and birth control, delay, waits"
Black or African American ,It is readily accessible but the problem is the cost of having it without insurance,black ,cost; insurance; black ,cost; Insurance,"cost, Insurance"
Latinx ,It’s kind of expensive and you need a good insurance to cover everything,Latinx ,cost; insurance; latinx ,cost; Insurance,"cost, Insurance"
Black or African American ,It's difficult to find a decent OBGYN in the Kaiser system that won't talk about weight before anything else comes out of my mouth.,black ,fatphobia; otherbias; black ,Fatphobia; otherbias,"Fatphobia, otherbias"
"American Indian or Native American, Latinx, White, ","The homophobia and assumptions of heterosexuality, especially if you have birthed children from a previous relationship with a male. This has caused many issues with providers that I have sought for care. They assume I have sex with men or someone with a penis or that I will again at some point, regardless of what I say or how long it has been. This creats an unsafe environment and road blocks access to certain kinds of care.",american-indian; Latinx; White; ,homophobia; culturalcompetence; otherbias; american-indian; latinx; white; ,Homophobia; culturalcompetence; otherbias,"Homophobia, culturalcompetence, otherbias"
"Black or African American, White ","Living in Portland has thankfully given me decent access to sexual/reproductive care, but the quality, accessibility and affordability can vary wildly because I'm reliant on OHP which is not accepted everywhere and also limits the degree of care available. For example, sperm cryopreservation is not covered, which inhibits my willingness to start HRT, ultimately leaving me in a negative feedback loop where I want to start HRT - and theoretically could start - but am hesitant due to possible infertility. This, to me, feels like a goal of the system; to force me to choose between a potential family and my own happiness.",black; White ,insurance; cost; knowledge; navigating; black; white ,Insurance; cost; knowledge; navigating,"Insurance, cost, knowledge, navigating"
Asian ,"When I changed insurance, I tried to get STI tested with providence but I didn't know how. I signed up for an e-visit and I joined the line while at work. I waited for 2 hours and at that point, I had to leave work so I never actually got to talk to anyone. I still don't know how to set up an appointment and I got discouraged by the long wait time.",Asian ,insurance; waits; navigating; asian ,Insurance; waits; navigating,"Insurance, waits, navigating"
Black or African American ,Often i am turnt away when i try to get care because my insurance doe not cover thr care.,black ,insurance; navigating; black ,Insurance; navigating,"Insurance, navigating"
Prefer not to say or use these categories ,It’s impossible to get the care I need as an intersex person. No one knows how to care for me. No one thinks to check the prostate cells I have because I also have a vulva/vagina.,other ,intersex; knowledge; other ,intersex; knowledge,"intersex, knowledge"
Latinx ,"OHP providers are notorious for treating patients poorly - I remember a few years back, I think OHEA held a community forum online about patients with OHP and there were so many horror stories about dentists and doctors. Submitting complaints to the state of Oregon about this treatment is too hard, especially for monolingual non-English speakers, who already feel like they're not taken seriously.",Latinx ,culturalcompetence; knowledge; trauma; otherbias; latinx ,culturalcompetence; knowledge; trauma; otherbias,"culturalcompetence, knowledge, trauma, otherbias"
"Asian, Latinx ",Lack of QTBIPOC care providers sometimes leads to avoidance in seeking care. This holds especially true for finding non-biased mental health providers. I had to change my PCP and clinic due to lack of access/knowledge of gender-affirming care.,Asian; Latinx ,culturalcompetence; knowledge; otherbias; asian; latinx ,culturalcompetence; knowledge; otherbias,"culturalcompetence, knowledge, otherbias"
"Latinx, White ",sometimes providers can be condescending. bad experiences in the past keep me from bringing up questions at appointments if im not at a specifically queer health space.,Latinx; White ,culturalcompetence; trauma; latinx; white ,culturalcompetence; trauma,"culturalcompetence, trauma"
"American Indian or Native American, Latinx ",They made me feel dirty,american-indian; Latinx ,culturalcompetence; otherbias; american-indian; latinx ,culturalcompetence; otherbias,"culturalcompetence, otherbias"
Latinx ,It’s difficult to find someone who has experience and knowledge working with transmasculine people,Latinx ,knowledge; latinx ,knowledge,knowledge
Latinx ,"It’s the lack of knowledge of trans health that is my problem.
People are not as familiar with trans needs or helping guide as trans folks get older.",Latinx ,knowledge; latinx ,knowledge,knowledge
"Asian, White, Prefer not to say or use these categories, ","Providers' lack of competency navigating sexual and reproductive care with trans patients, particularly patients who are on hormone replacement therapy and have received one or more gender-affirming surgeries",Asian; White; other; ,knowledge; asian; white; other; ,knowledge,knowledge
Asian ,something I have noticed is that it doesn't seem as if most medical professionals agree on how to tell symptoms for UTIs because so many people in my community and I have also experienced finding out we HAD UTIs only after we were actively suffeering from kidney infections,Asian ,knowledge; chronic; asian ,knowledge; chronic,"knowledge, Chronic Conditions"
"American Indian or Native American, Asian, Black or African American, Latinx, Middle Eastern or North Africann, White","please focus on VULVAR conditions not just vaginal conditions, such as atrophic vulvar lichen planus that is also capable of affecting anywhere there is mucosa (EVERYWHERE). also focus on lichen sclerosis for the same reasons and have sexual health providers be unafraid of the clitoris for god's sakes and check people with vulvas for ADHESIONS AND PHIMOSIS. I was told I had ""just discharge"" when I had a whole condition... for SEVEN YEARS.",american-indian; Asian; black; Latinx; middle-eastern; White,knowledge; chronic; diagnosisdelayed; american-indian; asian; black; latinx; middle-eastern; white,knowledge; chronic; diagnosisdelayed,"knowledge, Chronic Conditions, diagnosisdelayed"
Latinx ,Some providers can be judgemental about polyamory and pansexuality.,Latinx ,knowledge; otherbias; latinx ,knowledge; otherbias,"knowledge, otherbias"
"American Indian or Native American, Latinx ","My doctor was kind, but it’s has been hard to get ahold of provides that give gender affirming care. Everything has a waitlist and is very frustrating",american-indian; Latinx ,waits; navigating; american-indian; latinx ,waits; navigating,"waits, navigating"
Black or African American ,Wait times are incredibly long and the referral process is so mond-numbing sometimes. I have to jump through hoops to prove I need the help I need. I havent recieved any sexual health care in over 6 years as a result of this. Its too much to navigate.,black ,waits; navigating; delay; avoiding; black ,waits; navigating; delay; avoiding,"waits, navigating, delay, Avoiding care"
Black or African American ,Often questions feel hard to understand and misdiagnosis can lead to more issues,black ,navigating; diagnosisdelayed; overtreatment; black ,navigating; diagnosisdelayed; Overtreatment,"navigating, diagnosisdelayed, Overtreatment"
Latinx ,overall with Kaiser it seems super difficult to get comprehensive care - there seems to be little follow through and there is a lot of gate keeping to just get the care you need or prefer - I believe my health would be in better condition overall if there was more cohesiveness.  I feel like I just fall through the cracks with Kaiser because there has not been someone to actually follow through with me.,Latinx ,navigating; knowledge; waits; diagnosisdelayed; latinx ,navigating; knowledge; waits; diagnosisdelayed,"navigating, knowledge, waits, diagnosisdelayed"
"American Indian or Native American, Latinx, White, ","Typically, the doctors always lead with that my weight is the cause of all my medical issues.",american-indian; Latinx; White; ,otherbias; american-indian; latinx; white; ,otherbias,otherbias
Latinx ,"My provider is excellent. However, the practice added to my chart and medical records ""risky sexual behaviors"" once I began PrEp. I am in a mostly monogamous marriage. This feels stigmatizing and ""judgy."" The provider is Providence Primary Care, so I feel their religious affiliation and potential personal biases caused this.",Latinx ,otherbias; competent; latinx ,otherbias; competent,"otherbias, Competent care"
Latinx ,Im always charged to take pregnancy test even when I tell them I am Queer with no possibility of pregnancy. So im spending money when i already cant afford to be at said clinic,Latinx ,overtreatment; latinx ,Overtreatment,Overtreatment
"Black or African American, White ",Often not feeling listened to or taken seriously when discussing my symptoms. Very few options to deal with issues relating to sexual health for people with uteruses.,black; White ,minimization; black; white ,minimization,minimization
Black or African American ,my job covers this care and my doctor for this care has generally been helpful and responsive. I was diagnosed for endometriosis at a young age and I've learned to advocate for myself to keep my pain low.,black ,reproductive; competent; wins; black ,reproductive; competent; Wins,"reproductive, Competent care, Wins"
Latinx ,"One of the major barriers to accessing care (specifically pap smears) is the double whammy of being a survivor of sexual violence and agender.  So getting a pap smear is retraumatizing, but the ways that my doctors have often dealt with that is by leaning hard into gendered language--it's so important for me to get a pap smear to protect my womanhood, so that I can be a mother, etc.  (One PCP did a whole, like, Divine Feminine/Mother Goddess thing which would have been funny if I weren't on the verge of a panic attack the whole time.)  So the combination of ""I have to do this thing that is deeply physically uncomfortable and will set off my PTSD for the rest of the day"" and ""my provider will 'helpfully' misgender me the whole time"" makes me avoid pap smears for as long as I can.  Also, because I'm asexual and have never had consensual sex, providers get really confused about how to deal with me.  Perhaps the most telling exchange was when a PCP asked me about the genders of my past partners.  I asked if she was asking what had come into contact with my genitals in what configurations, and she said, no, she was asking about past partners.  I said the genders of my partners, and then pointed out that two of the three had been trans and one of those partners I had not been sexually active with and asked again if she was asking what had come in contact with genitals.  She said no again, but then was shocked when I told her that I'd never had PIV sex (after she ignored me and tried to use a regular size speculum when I said the regular size wouldn't fit).  I think that some providers prefer to use more euphemistic language, but I want the most clinical language at all times to prevent stupid assumptions like that.",Latinx ,assault; sexism; otherbias; culturalcompetence; knowledge; misgendering; latinx ,assault; Sexism; otherbias; culturalcompetence; knowledge; Misgendering,"assault, Sexism, otherbias, culturalcompetence, knowledge"
Asian ,"Sometimes I am not taken as seriously due to ageism (I present younger despite my actual age). Appointments are also too short (15 minutes) to address major concerns. I made a request for routine labwork that was denied because ""if you're not feeling pain, you should be fine."" I agreed not to pursue labwork due to the costs.",Asian ,shortappointments; otherbias; asian ,shortappointments; otherbias,"shortappointments, otherbias"
Asian ,"I've had horrible/transphobic experiences navigating fertility preservation at a ""LGBTQ friendly"" fertility clinic (ORM) about 10 years ago.",Asian ,transphobia; culturalcompetence; asian ,Transphobia; culturalcompetence,"Transphobia, culturalcompetence"
Asian ,Im an outlier in that im very lucky to be so physically okay. Ive only had an iud put in by planned parenthood and it was no cost to me for that. I had a pap smear and some std testing done but thats basically it. I was lost on how to answer since a lot was not applicable.,Asian ,wins; asian ,Wins,Wins
"American Indian or Native American, White ",Planned Parenthood on MLK has been amazing for me and my partner. Other doctors have been callous and unsafe. I was unable to access HRT until I started going to PP.,american-indian; White ,wins; american-indian; white ,Wins,Wins
"Black or African American, Latinx ","Assumptions and bias around being a Black mother and forced birth control. ""Making sure"" i don't get pregnant",black; Latinx ,racism; black; latinx ,Racism,Racism
"Asian, Black or African American, White, ","At my first ever gynecologist appointment (in a seemingly all-white clinic) I experienced a traumatic examination by a doctor who spent the majority of the appointment ignoring and belittling me, and who later prescribed me a medication that majorly impacted my physical and mental health. I haven't tried again.",Asian; black; White; ,ableism; trauma; racism; harm; avoiding; asian; black; white; ,Ableism; trauma; Racism; harm; avoiding,"Ableism, trauma, Racism, harm, Avoiding care"
American Indian or Native American ,Being discriminated for my weight is the worst because it makes me not want to get the help and just leave. It already takes alot of courage to walk in there for help.,american-indian ,fatphobia; ableism; american-indian ,Fatphobia; Ableism,"Fatphobia, Ableism"
Latinx ,Drs in Oregon have been shockingly competent in trans medicine compared to my really terrible experiences in Arizona. I have been able to get top surgery within my first year being on OHP.,Latinx ,wins; chronic; latinx ,Wins; chronic,"Wins, Chronic Conditions"
"American Indian or Native American, Black or African American ",Family planning is not covered by my insurance so all fertility and family planning costs are OOP. I go to a subpar clinic out of state because it's all I can afford.,american-indian; black ,delay; insurance; cost; reproductive; american-indian; black ,delay; Insurance; cost; reproductive,"delay, Insurance, cost, reproductive"
"American Indian or Native American, Black or African American, Latinx, ","having a ute is bs
they dont care.",american-indian; black; Latinx; ,otherbias; american-indian; black; latinx; ,otherbias,otherbias
Black or African American ,Having perimenopause symptoms and not receiving support or health education on how to help relieve any of these symptoms. Now that I’m not having any more children I don’t feel like they hear or have any support for my next phase of life.,black ,knowledge; navigating; indifference; black ,knowledge; navigating; indifference,"knowledge, navigating, indifference"
Black or African American ,"I have suspected endometriosis and pmdd and my previous gynecologist just put me on birth control instead of doing further testing. Unfortunately, the birth control stopped working effectively, so I need to pursue the surgery to get proper testing and am looking for a new obgyn who is hopefully a person of color.",black ,knowledge; indifference; navigating; black ,knowledge; indifference; navigating,"knowledge, indifference, navigating"
Black or African American ,"I think being neurodivergent definitely makes it hard for me to access care. On top of being black, people misinterpret me as rude or being difficult. I am often fatigue and a healthcare worker made a comment about me being hungover which wasn’t the case.",black ,ableism; neurodivergence; black ,Ableism; Neurodivergence,"Ableism, Neurodivergence"
"Latinx, White ","I was denied STI testing because of my sexual orientation (queer), and I had to speak up and advocate for it several times in the conversation with the doctor before they begrudgingly agreed to test me. It impacted how I view repro health screenings and I still find myself nervous to seek out that kind of care.",Latinx; White ,knowledge; indifference; latinx; white ,knowledge; indifference,"knowledge, indifference"
Latinx ,I was referred to a surgeon for top surgery and my primary care doctor made sure she found one that performs the surgery on fat people. She was concerned that I would get turned down by other surgeons because I’m “overweight”,Latinx ,fatphobia; wins; competent; latinx ,Fatphobia; Wins; competent,"Fatphobia, Wins, Competent care"
Asian ,Long wait times and high copays make me less inclined to seek out sexual and reproductive care,Asian ,cost; waits; asian ,cost; waits,"cost, waits"
Asian ,"Many providers not knowing alternative modalities of healing, suggesting invasive procedures/surgeries before offering other treatments",Asian ,knowledge; culturalcompetence; asian ,knowledge; culturalcompetence,"knowledge, culturalcompetence"
Black or African American ,More free condoms around would be nice,black ,contraception; black ,contraception,Contraception and birth control
"American Indian or Native American, White ","Most doctors outside of the ""transhealth care"" network don't know BASIC things on how to treat trans men. and inside the Transhealth care is alot of control and decsion making for me under the guise of acess. I have had many medical issue that relate to my disabilities from birth be misdiagnosed as a ""trans related medical issue"". its bias made to look like informed treatement of trans people. No trans people in this state are getting adequete healthcare across the board. Especially emergency services.",american-indian; White ,ableism; knowledge; transphobia; diagnosisdelayed; american-indian; white ,Ableism; knowledge; Transphobia; diagnosisdelayed,"Ableism, knowledge, Transphobia, diagnosisdelayed"
"American Indian or Native American, White ",Most services are still from a Euro-centric point of view,american-indian; White ,racism; american-indian; white ,Racism,Racism
"Black or African American, White ",Multnomah county STI clinic is a great resource that I use often. I have not paid during times of financial instability and never felt shamed for it,black; White ,wins; sticare; black; white ,Wins; sticare,"Wins, sticare"
Asian ,"Not sure if this is helpful to include, but before seeing specific survey questions, I would have assumed for myself my healthcare in this field was pretty solid, but the prompts helped me re-realize I have been avoiding certain types of care because it feels too daunting (mostly financially, and also somewhat from past instances of not feeling heard or assumed my issues are not as serious as they have felt internally)",Asian ,delay; wins; avoiding; asian ,delay; Wins; avoiding,"delay, Wins, Avoiding care"
Latinx ,Often in seeking sexual and reproductive care i come up against weight based bias as well as sex worker bias.,Latinx ,ableism; otherbias; latinx ,Ableism; otherbias,"Ableism, otherbias"
Latinx ,Oftentimes I wont be treated for my concerns such as a UTI which then worsen and ended in the ER with a kidney infection. I've previously wont be treated immediately having to come back to try to convince doctor for treatment.,Latinx ,diagnosisdelayed; knowledge; indifference; harm; latinx ,diagnosisdelayed; knowledge; indifference; harm,"diagnosisdelayed, knowledge, indifference, harm"
"Black or African American, White ","Prism Health is where I go. The care is amazing, and afforable with insurance but the long wait times can be difficult.",black; White ,cost; wins; waits; black; white ,cost; Wins; waits,"cost, Wins, waits"
Latinx ,"The care is not comprehensive, and sometimes they do not prescribe treatments (like MRIs) that are expensive but needed",Latinx ,cost; navigating; latinx ,cost; navigating,"cost, navigating"
"American Indian or Native American, Latinx ","uff too traumatizing to relive… but simply put, i havent gotten my pap because of multiple past negative experiences. i don’t know when i’ll be comfy having someone screen me between my legs. hopefully soon though",american-indian; Latinx ,harm; delay; trauma; american-indian; latinx ,harm; delay; trauma,"harm, delay, trauma"
"Black or African American, Latinx ",When I was in gender pathways; instead of helping me with my gender affirming care I was told to try to get pregnant. They have still to this day refused to test my hormone levels; they just give me meds that I eventually stop taking.,black; Latinx ,transphobia; harm; black; latinx ,Transphobia; harm,"Transphobia, harm"
"Asian, Native Hawaiian or Pacific Islander ",asian and white nurses stab me at least 3+ times even though filipino & Pacific Islander nurses have told me my veins are easy to find.,Asian; nhpi ,racism; harm; trauma; asian; nhpi ,Racism; harm; trauma,"Racism, harm, trauma"
Asian ,"I would feel most comfortable if I were able to find a provider who shares my ethnic, religious, and queer identities, who speaks my first language, but because I am able to adapt and speak English I get by with most providers. As a brown person who constantly experiences racism, being with other BIPOC providers is preferable to me.",Asian ,sharedidentities; racism; asian ,sharedidentities; Racism,"sharedidentities, Racism"
"Asian, Native Hawaiian or Pacific Islander ","it is an added effort to access labs, lab services due to limitations of hours/times and transportation accessibility.",Asian; nhpi ,transportation; navigating; asian; nhpi ,Transportation; navigating,"waits, navigating, Transportation"
"American Indian or Native American, Native Hawaiian or Pacific Islander, White, ","when I did not have insurance, I was only able to go to health clinics and I had to wait in line or not be seen.",american-indian; nhpi; White; ,insurance; waits; american-indian; nhpi; white; ,Insurance; waits,"Insurance, waits"
