speaker,words,tags,,final tag list
Black or African American,"Offices giving the runaround, referrals sent to wrong offices, receptionists being dismissive of the urgency of what I need.",Navigating care,Navigating care,New to Oregon
"Asian
White
Prefer not to say or use these categories","I scored my current experience of gender affirming care pretty high because I go to a queer and trans specific clinic and my costs are completely covered by OHP. However, clinics that serve LGBTQIA2S folks often have high turnover. I've been going to my current clinic for 3.5 years, and have had my care transferred to new PCPs 3-4 times. This can be super disruptive to any type of care, but especially with folks scheduling blood panels/tests/check-ups that follow a timeline. It also creates major time scarcity, since there isn't always a new provider lined up when one leaves, and cases are often transferred to the other doctors on staff, making it hard to schedule with them.",Navigating care; Long wait times and delays; Wins,"Navigating care, Long wait times and delays, Wins",Other provider bias
"American Indian or Native American
White","My trans healthcare, reproductive healthcare, and disability healthcare and all other healthcare needs are all intersectionally effected my my doctors incompetence in one or more of these areas. I have autism and fetal alochol syndrome and multiple studies show that FAS people do not have average BMIs. I am considered underweight and it greatly effects how much T my doctors will prescibe. They have threatened to take me off of meds that make me functional because of my weight. This survey asked several times if I face fatphobia but I actually face the opposite in healthcare. There is a bias in healthcare around people who are underweight and what treatments we receive.",Other provider bias; Lack of provider knowledge,"Other provider bias, Lack of provider knowledge",Overtreatment
"American Indian or Native American
Asian
Black or African American
Latinx
Middle Eastern or North African
White","I want a breast augmentation I know is covered under medicaid for gender affirming reasons, but I present as a more femme non-binary person and I do not feel like I will be taken seriously if I ask for a medically covered breast augmentation. More needs to be done to show how gender affirming care access affects more than just typical presenting trans people, that it even affects cisgender people too.",Provider minimizes concerns; Lack of culturally competent providers,"Provider minimizes concerns, Lack of culturally competent providers",Provider indifference
Asian,I've experience both racist and transphobic incidents with providers at all levels,Racism; Transphobia,"Racism, Transphobia",Provider minimizes concerns
"Black or African American
Latinx","Being misgendered and spoken to as if I am a woman who thinks and wants the things a woman ""typically"" thinks and wants is a central feature for 99% of my healthcare. I have one therapist who affirms my identity as a trans agender person and she has never misgendered me or relates to me as a woman. I'm grateful for her.",Transphobia,Transphobia,Provider shared identities
Latinx,"It depends on the provider who I’m seeing 
My regular Person I see is supportive 
It’s just the office and the billing departments that I had to correct",Transphobia,"Transphobia, Misgendering",Racism
"American Indian or Native American
Latinx","The VA healthcare system is the worst when it comes to dead making and misgendering patients. And their gender pathways program acitvely lies to patients about what care they can or cannot access. I was told to spend a year ""living as a woman"" before I could access hormones, and then another year on hormones before I could access bottom surgery. After those two years I was told, sorry, the VA doesn't offer bottom surgeries and won't pay for them either.",Transphobia; Lack of culturally competent providers,"Transphobia, Lack of culturally competent providers, Misgendering",Reproductive related condition
"Asian
Black or African American
White","While I've been misgendered often, that's more because the doctors rotate every appointment and don't read my chart than malice.",Transphobia; Navigating care,"Transphobia, Navigating care",Sexism
Latinx,Providers are insensitive to gender affirming care patients if you do not “look trans enough”,Transphobia; Other provider bias,"Transphobia, Other provider bias",Sexual assault or trauma
Latinx,"Since I'm not doing HRT and can't get surgery at the moment, I suppose the only gender affirming care I'm really getting is therapy, but it feels like my PCP should be clumped in here, since PCPs have historically been where my gender and sexuality is most likely to become a problem.",Transphobia; Other provider bias,"Transphobia, Other provider bias",Short appointment times
"Latinx
White","When I told a white woman provider that my hair was thinning due to hrt and i wanted to know what i could do to manage it, she brushed aside my concerns saying my hair was very thick and full and i didn't need to worry. Compared to her straight, thin hair it was, but i know my natural hair texture. When i was preparing for top surgery, my meetings with my surgeon depressed me because she would always comment on how big i was on top. I lost trust in her, thinking it was obvious she shouldn’t make comments like that… ??? These experiences at times made me second guess my decisions to access care at all, and would keep me from asking other questions because i didnt want to spend any more time talking to these providers, worried what else they might say. It was very hard to advocate for myself in those relationships.",Transphobia; Other provider bias; Lack of provider knowledge; Lack of culturally competent providers,"Transphobia, Other provider bias, Lack of provider knowledge, Lack of culturally competent providers",STI testing and care
Latinx,"As far as gender afirming care, whenever I try to bring it up with a doctor, first up, I am misgendered every single time I'm being seen, and when I try to talk about hormones or other gender related issues, I feel like I'm being ignored. I have never been referred to a gender specialist, and since I don't have an official gender dysphoria diagnosis, it is as if hormones/ surgery are not an option for me, as far as my insurance-provided medical team is concerned",Transphobia; Provider minimizes concerns; Navigating care,"Transphobia, Provider minimizes concerns, Navigating care",Transphobia
Asian,"I am so grateful for Oregon Health Plan. I received my top surgery letter Dec 2024 -I do wish these letters didn't expire after 1 year. I was on Regence BCBS for several years through my employment, but lost my job in Jan 2025 and quickly applied for OHP. From Feb - Apr I had double coverage through Regence and OHP. I ended up in the ER for a serious mouth infection in Feb, Regence would barely cover any of my ER costs, but OHP covered all of it, saving me $10K -THANK YOU OHP!!!! In April I finally had the capacity to start looking for surgeons for top surgery. I contacted the following providers: Legacy Emanuel, OHSU, and The Oregon Clinic East. Legacy Emanuel's Dr Thatcher was the most highly recommended and most popular among my social circles. I never heard back from Legacy, I'm sure they are swamped. I heard back from OHSU quickly, they emailed saying that current estimated wait time for top surgery intake/consult is two years; they said they are getting a lot of requests for surgery while having staffing shortages. They also said to contact the clinic directly for most up to date wait times. OHSU also emailed a 23 page booklet with a provider list for all types of gender affirming care, that was SO helpful. I am grateful. I was able to schedule a consult with The Oregon Clinic (East) April 18 and receive insurance approval by end of May to schedule surgery. The earliest surgery date was August but I opted for November instead.",Wins,Wins,Wins
"Black or African American
White","My therapist is amazing. If it were strictly about them the answers would be all positive. I know I lucked out with them.

My answers refer to services such as Planned Parenthood and other free/low-income/OHP options.",Wins,Wins,Ableism
Black or African American,Accessing gender-affirming care has been a game changer for my mental health and well being.,Wins; Affirming experiences,"Wins, Affirming experiences",Short appointment times
Black or African American,"My surgeon was nonbinary. Some of the folks who prepped me made me a little uncomfortable, and they did not feel culturally competent. However, their direct team was fantastic.",Wins; Lack of culturally competent providers,"Wins, Lack of culturally competent providers",Intersex experiences
"Asian
White",I moved to this area to receive the care i knew i needed around HRT and transitioning. I've received most of my care from Outside In,Wins; New to Oregon,"Wins, New to Oregon",Anxiety
"Asian
White","Because my health insurance provides my testosterone through the mail, it makes accessing testosterone very accessible. I used to face a lot more bias, lack of education, and fear of transphobia when I had to go to an in person pharmacy. While my testosterone is accessible, the needles that I need for injection are not. Even though I don’t like buying medical supplies on Amazon, I always buy my injection needles in bulk on Amazon now because I got sick of pharmacies either not having the needle sizes I need in stock, or not understanding what needles I actually need even when I told them the specific size. Several times I had pharmacists give me insulin needles which are useless for testosterone. This even happened when the pharmacist knew I was picking up my testosterone at the same time. 
My health insurance also has a whole department for gender related care, and these providers are available online which makes it accessible. However my assigned doctor in the gender clinic has had instances of not taking my personal experiences seriously or pushing back telling me that things I have experiences “aren’t possible” or “aren’t supposed to happen.”",Wins; Provider minimizes concerns; Lack of provider knowledge,"Wins, Provider minimizes concerns, Lack of provider knowledge",Affirming experiences
Latinx,Being fat and brown and poor and a sex worker with cptsd has provided an interesting experience overall. I often feel like im fighting against whatever stereotype they have imagined of me. Im very rarely treated as a trans man.,Provider minimizes concerns; Lack of provider knowledge; Fatphobia; Other provider bias; Medical harm,"Provider minimizes concerns, Lack of provider knowledge, Fatphobia, Other provider bias, Medical harm",
Black or African American,"I was treated very harshly by nurses during my chest reduction surgery due to my race. I had a bruise on my hand from having a thick anesthesia needle bag puncture it too many times in the same spot, and I wake up with paralysis of that hand's two fingers even til this day, years later. The treatment during the surgery scarred me and made the healing process traumatic. Additionally, I was not notified of the full process of accessing HRT by my healthcare provider. I endured over a year of combating extreme gender dysphoria alone to finally complete my process of accessing HRT (securing the WPATH letter, getting medicated, and reducing cholesterol levels). During the time I was securing the WPATH letter and getting medication, I should have been notified that I still wouldn't be allowed on HRT until I lost weight and got my cholesterol levels down so I could work on both requirements at once. My cholesterol levels were not at dangerous levels, but gender affirming care was withheld from me for another half year until I intensely dieted and worked out to meet normal fat levels. It took a toll on my mental health and was also difficult for me because I already have numerous eating restrictions as a symptom of my physical disability.",Lack of provider knowledge; Transphobia; Medical harm; Medical trauma,"Lack of provider knowledge, Transphobia, Medical harm, Medical trauma",
Native Hawaiian or Pacific Islander,My provider knows I am non monogamous and is very affirming and accepting,Wins,Wins,
Latinx,Often time misgendered and assumptions made based on my physical presentation,Misgendering; Admin and Office,"Misgendering, Admin and Office",
Latinx,When setting up appointments in OR I have only sought treatment from Drs competent in trans medicine. I've verified this with multiple community members before seeking care in OR. I think that has had a very strong impact on me having positive experiences here.,Wins,Wins,
